iter	Passed	Remaining
362	7371	12936
363	7391	12915
364	7411	12893
365	7431	12872
366	7450	12851
367	7470	12829
368	7489	12807
369	7509	12786
370	7529	12765
371	7549	12744
372	7568	12721
373	7587	12700
374	7608	12680
375	7628	12659
376	7647	12637
377	7666	12615
378	7686	12594
379	7705	12572
380	7726	12552
381	7747	12533
382	7767	12512
383	7786	12491
384	7806	12470
385	7826	12449
386	7846	12429
387	7866	12408
388	7887	12388
389	7906	12366
390	7925	12344
391	7945	12323
392	7964	12301
393	7990	12290
394	8011	12271
395	8031	12249
396	8050	12228
397	8070	12207
398	8090	12186
399	8110	12166
400	8131	12145
401	8150	12123
402	8170	12104
403	8190	12082
